Associated Gene Name,gene_length_bp,FANTOM_Total_CAGE_TPM,Cytosol_TPM,PB_TPM,RNA enrichment in P-body (log2) (Fold change=sorted P-bodies/pre-sorted fraction),NEW_Log2FC_TPM,Cap_index,DepMap_Common_Essential,DepMap_Strongly_Selective,DepMap_Flag_Status,DepMap_Dependent_Cell_Lines
KBTBD2,4987,6.117603292437589,81.6783091817553,199.68180577746853,2.11811767119767,1.2895736069210568,0.0748987503992564,0,1,strongly selective,80
ZIC5,4639,7.2581733978073055,86.2404578717924,215.78723914401272,2.1183619460418,1.3230723868182095,0.0841620461778799,0,0,not flagged,3
RBBP8,5091,10.26513094832747,177.31891520813426,416.83311220754086,2.12259991867743,1.2330766958825916,0.0578907835990222,1,0,common essential,1128
ZNF618,10384,3.52539850750641,50.07328402069685,123.6578233297571,2.13152350406273,1.3040691099705233,0.0704047792441425,0,0,not flagged,0
SNAI2,2282,4.043839464492637,501.49981053595616,1243.4662506906225,2.13184001141327,1.3100291253743024,0.0080634915099388,0,1,strongly selective,106
BNC1,4795,0.0,25.67113047777849,63.98743583284131,2.13273796819013,1.317305391236521,0.0,0,0,not flagged,5
KLHL11,2383,26.23311242350353,276.86230437148384,691.302134509804,2.13544821132296,1.320116501642849,0.0947514775731436,0,1,strongly selective,198
DENND4A,8902,9.539313608546736,106.691352220985,265.785318245409,2.1386690262189,1.316737233531385,0.0894103730992966,0,1,strongly selective,46
PDP1,5603,1.86638744515045,40.61858336113311,101.65413673298802,2.13949143328832,1.3232438740105177,0.0459491023740711,0,0,not flagged,0
CCNE2,4399,3.110645741917414,76.17256721661384,186.6870388167046,2.13992068893947,1.293166235219693,0.0408368242739094,0,1,strongly selective,31
PELI2,6278,5.184409569862362,65.98592762425127,164.33020091460637,2.14115090452627,1.3162365269377485,0.0785684123345866,0,0,not flagged,1
CSNK1G1,8414,4.147527655889883,72.68327976611084,182.35647366060735,2.14524440638252,1.3269466247136417,0.057063022874536,0,0,not flagged,0
TIGD4,2472,0.518440956986236,18.25899051915015,45.16776829396985,2.15164675739496,1.3062160879146445,0.0283937360306141,0,0,not flagged,2
AIDA,4517,6.22129148383483,72.81961291638025,182.19009797546576,2.15459769533314,1.3229266524572016,0.0854342839061617,0,0,not flagged,0
ZNF236,8770,2.38482840213669,43.89203674538496,110.77277275833326,2.1567287940589,1.3353737756539092,0.0543339653151876,0,0,not flagged,260
TLK2,8583,0.0,70.78132220455264,183.0019895256796,2.16142578120546,1.370293739067736,0.0,0,1,strongly selective,770
KBTBD8,4740,1.9700756365477,127.39519507168676,315.8033174202899,2.16834816971094,1.309647902880986,0.0154642852537657,0,0,not flagged,2
PGBD4,2318,2.488516593533936,104.7644828133901,268.59025282025254,2.17718514882851,1.358173262632859,0.0237534374886053,0,1,strongly selective,4
PRDM11,5527,0.829505531177978,10.614815265584385,26.61514752754637,2.17764686118589,1.325351761976471,0.0781460167156578,0,0,not flagged,1
PAPOLG,8501,19.286003599887977,196.0106586187683,498.28410993263714,2.17805314415205,1.3459918128031845,0.0983926268897364,0,0,not flagged,0
ZMYM1,4828,10.1614427569302,126.31478558569964,309.2258914441341,2.18177566144535,1.2915700440546567,0.0804453944945032,0,1,strongly selective,8
MBNL2,4884,11.198324670902688,154.73514346286612,383.8626538286993,2.18268474798171,1.3107336572314612,0.0723709198847261,0,0,not flagged,0
SYDE2,6451,2.177452019342192,24.184870170116767,61.78857746332816,2.18284255598352,1.3528724315049965,0.0900336451684858,0,0,not flagged,4
RPL7L1,7809,18.560186260107212,276.2007399942959,710.5355811975824,2.18355325272996,1.363157783232556,0.0671981771681369,1,0,common essential,355
SFMBT2,9955,0.518440956986236,40.261662617139216,104.14351647924046,2.18963827190904,1.370874608792637,0.0128767895632193,0,0,not flagged,4
CCDC77,3614,9.85037818273848,123.85780697826252,313.6058546986547,2.18983681513364,1.340197213719175,0.0795297319002851,0,0,not flagged,31
SOX11,8718,2.592204784931175,177.70322286576177,467.4360185552867,2.19301282468522,1.3952487397878903,0.0145872693985372,0,1,strongly selective,20
MASTL,3631,13.686841264436628,212.2553276825008,544.9876801341042,2.19335801146178,1.360381354280379,0.0644829103414068,1,0,common essential,1159
SOCS5,5034,2.281140210739439,46.5273677784167,118.65092681652663,2.19359394297885,1.3503834390888212,0.0490279231269477,0,0,not flagged,72
PUM2,6858,15.034787752600838,404.9112808238836,1050.2593833596584,2.19396996693796,1.3750460402637923,0.037131066642572,0,0,not flagged,31
NHLRC2,11223,9.746689991341231,109.23765143044392,288.0859293390716,2.20661481115201,1.39894701055201,0.0892246387917571,1,0,common essential,826
ZBTB26,4645,4.25121584728713,133.3436476635457,348.9155336803037,2.21086799868724,1.3876618870524635,0.031881652570461,0,0,not flagged,0
TRIM2,9333,3.525398507506406,81.28714094768935,213.37822497138563,2.21302561490628,1.3922040469413235,0.0433696949653463,0,0,not flagged,0
ACVR1C,9195,0.829505531177978,10.355487896495704,25.68040919511994,2.21303141322877,1.3094418448477767,0.0801029888180046,0,0,not flagged,2
HDX,6895,1.762699253753197,25.978895139197757,66.34420315605469,2.21731406502815,1.3522925527972545,0.0678512016892351,0,0,not flagged,0
ZNF391,4834,3.421710316109157,44.34231533655702,113.43405151812348,2.21747838238742,1.3548996377065388,0.077165801788618,0,0,not flagged,0
ZNF823,2459,8.50243169457427,100.34177726796774,249.54129534756115,2.21798558319115,1.314270224863387,0.0847347129587719,0,1,strongly selective,1
FBXL20,3261,8.50243169457427,568.4511933310181,1508.834491041972,2.22618558336514,1.4083103519317464,0.0149571885754194,0,0,not flagged,1
RAP1A,5733,9.33193722575225,236.56016891805757,633.068930915741,2.23439973436679,1.42011721913264,0.0394484721093716,0,0,not flagged,70
MMP16,12115,0.207376382794494,22.459715005041176,59.32344328683136,2.23650079635781,1.400863682693831,0.0092332597607737,0,1,strongly selective,2
SLC9A6,4710,3.6290866989036497,99.69556767351644,266.0345792001887,2.23837414107489,1.415922034406439,0.0364016854870439,0,0,not flagged,0
